date,time,name,game,bounty,buyin,guarantee,notes
2026-09-16,00:00,SPS 330-L Plus,NLH,,5.60,21360,VALUE
2026-09-16,00:00,SPS 253-M Big Plus,NLH,,24,25360,
2026-09-16,01:00,SPS 254-M Battle HR,NLH,,88,65360,
2026-09-16,01:00,SPS 114-H HighS,NLH,,176,20000,
2026-09-16,02:00,SPS 115-H OmaX HR,PLO,,160,20000,
2026-09-16,02:00,SPS 333-L Plus,NLH,,4,12240,VALUE
2026-09-17,00:00,SPS 339-L Big Plus,NLH,,8,33360,VALUE
2026-09-17,00:00,SPS 260-M Freeze HR,NLH,,24,9840,Freezeout
2026-09-17,01:00,SPS 261-M Battle HR,NLH,,88,81360,
2026-09-17,01:00,SPS 117-H HighS,NLH,,176,16000,
2026-09-17,02:00,SPS 118-H OmaX HR,PLO,,120,16000,
2026-09-17,02:00,SPS 342-L Plus,NLH,,4,8240,VALUE
2026-09-18,00:00,SPS 347-L Plus,NLH,,4,17360,VALUE
2026-09-18,00:00,SPS 120-H Mystery HR,NLH,Mystery,88,16000,
2026-09-18,01:00,SPS 267-M Battle HR,NLH,,35.20,32240,
2026-09-18,01:00,SPS 121-H OmaX SHR,PLO,,320,32000,
2026-09-18,01:00,SPS 122-H HighS,NLH,,128,16000,
2026-09-18,02:00,SPS 350-L Plus,NLH,,3.20,6640,VALUE
2026-09-19,00:00,SPS 356-L Big Plus,NLH,,6.40,21360,VALUE
2026-09-19,01:00,SPS 123-H Friday HR,NLH,,120,12000,
2026-09-19,01:00,SPS 274-M Battle HR,NLH,,24,16240,
2026-09-19,02:00,SPS 275-M Plus HR,NLH,,12,5840,VALUE
2026-09-19,02:00,SPS 124-H OmaX HR,PLO,,80,8000,
2026-09-19,21:00,SPS Plus+277-M,NLH,,3.20,4240,VALUE · с местами в 277-M Main Event
2026-09-20,00:00,SPS Plus,NLH,,2.40,8000,VALUE
2026-09-20,01:00,SPS Battle HR+277-M,NLH,,24,8240,с местами в 277-M Main Event
2026-09-20,20:00,SPS 277-M Main Event,NLH,,240,1600000,VALUE
2026-09-20,22:00,SPS 278-M Sunday PLO,PLO,,40,12800,
2026-09-20,23:00,SPS Supreminho,NLH,,12,12000,VALUE
2026-09-20,23:00,SPS 279-M Freeze HR,NLH,,40,12000,Freezeout
